"Min,Max,Modal PriceVaranasi from 01-Jan-2023To29-Aug-2025 (Total-738) (Total-738)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
211,Varanasi,Varanasi,Wheat,Dara,FAQ,2440,2520,2470,14-Aug-24
212,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2150,05-Apr-23
213,Varanasi,Varanasi,Wheat,Dara,FAQ,2850,2915,2890,10-Jan-25
214,Varanasi,Varanasi,Wheat,Dara,FAQ,2440,2500,2465,29-Mar-24
215,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2525,2490,23-May-25
216,Varanasi,Varanasi,Wheat,Dara,FAQ,2840,2915,2875,01-Jan-25
217,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2150,2130,15-Apr-23
218,Varanasi,Varanasi,Wheat,Dara,FAQ,2375,2465,2420,11-Mar-23
219,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2535,2490,16-Apr-25
220,Varanasi,Varanasi,Wheat,Dara,FAQ,2280,2400,2360,28-Jun-23
221,Varanasi,Varanasi,Wheat,Dara,FAQ,2715,2800,2765,07-Nov-24
222,Varanasi,Varanasi,Wheat,Dara,FAQ,2515,2610,2565,16-Aug-25
223,Varanasi,Varanasi,Wheat,Dara,FAQ,2490,2615,2585,13-Jun-25
224,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2420,2375,04-Jun-24
225,Varanasi,Varanasi,Wheat,Dara,FAQ,2515,2600,2565,30-Sep-24
226,Varanasi,Varanasi,Wheat,Dara,FAQ,2465,2585,2530,07-Jul-25
227,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2385,2355,10-May-24
228,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2375,2325,14-Aug-23
229,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2365,2330,23-Apr-24
230,Varanasi,Varanasi,Wheat,Dara,FAQ,2480,2570,2535,19-Jul-25
231,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2225,2170,03-May-23
232,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2390,2345,27-Apr-24
233,Varanasi,Varanasi,Wheat,Dara,FAQ,2480,2600,2560,17-Jun-25
234,Varanasi,Varanasi,Wheat,Dara,FAQ,2745,2865,2800,22-Dec-24
235,Varanasi,Varanasi,Wheat,Dara,FAQ,2535,2635,2585,03-Mar-23
236,Varanasi,Varanasi,Wheat,Dara,FAQ,2325,2400,2365,16-Sep-23
237,Varanasi,Varanasi,Wheat,Dara,FAQ,2355,2425,2385,19-Oct-23
238,Varanasi,Varanasi,Wheat,Dara,FAQ,2475,2550,2520,30-Aug-24
239,Varanasi,Varanasi,Wheat,Dara,FAQ,2940,3035,2980,15-Feb-25
240,Varanasi,Varanasi,Wheat,Dara,FAQ,2440,2550,2530,30-May-25
241,Varanasi,Varanasi,Wheat,Dara,FAQ,2285,2425,2390,12-Jun-24
242,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2575,2530,03-Apr-25
243,Varanasi,Varanasi,Wheat,Dara,FAQ,2385,2475,2450,01-Apr-24
244,Varanasi,Varanasi,Wheat,Dara,FAQ,2615,2700,2650,31-Mar-25
245,Varanasi,Varanasi,Wheat,Dara,FAQ,2520,2650,2560,27-Feb-24
246,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2835,2790,23-Jan-23
247,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2550,2515,14-Apr-25
248,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2565,2515,23-Dec-23
249,Varanasi,Varanasi,Wheat,Dara,FAQ,2920,3000,2965,07-Mar-25
250,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2385,2350,19-Apr-24
251,Varanasi,Varanasi,Wheat,Dara,FAQ,2300,2385,2360,21-Sep-23
252,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2235,2185,20-May-23
253,Varanasi,Varanasi,Wheat,Dara,FAQ,2950,3035,2985,25-Feb-25
254,Varanasi,Varanasi,Wheat,Dara,FAQ,2775,2850,2815,10-Feb-23
255,Varanasi,Varanasi,Wheat,Dara,FAQ,2425,2520,2500,28-Apr-25
256,Varanasi,Varanasi,Wheat,Dara,FAQ,2530,2600,2550,05-Aug-25
257,Varanasi,Varanasi,Wheat,Dara,FAQ,2450,2570,2520,26-Dec-23
258,Varanasi,Varanasi,Wheat,Dara,FAQ,2735,2850,2780,07-Feb-23
259,Varanasi,Varanasi,Wheat,Dara,FAQ,2485,2615,2575,16-Jun-25
260,Varanasi,Varanasi,Wheat,Dara,FAQ,2525,2600,2565,18-Aug-25
261,Varanasi,Varanasi,Wheat,Dara,FAQ,2480,2565,2530,03-Jul-25
262,Varanasi,Varanasi,Wheat,Dara,FAQ,2440,2525,2470,30-Jul-24
263,Varanasi,Varanasi,Wheat,Dara,FAQ,2670,2750,2720,06-Jan-23
264,Varanasi,Varanasi,Wheat,Dara,FAQ,2685,2785,2718,05-Jan-23
265,Varanasi,Varanasi,Wheat,Dara,FAQ,2450,2550,2500,07-Mar-23
266,Varanasi,Varanasi,Wheat,Dara,FAQ,2125,2200,2165,12-May-23
267,Varanasi,Varanasi,Wheat,Dara,FAQ,2340,2425,2380,17-Oct-23
268,Varanasi,Varanasi,Wheat,Dara,FAQ,2445,2515,2485,23-Aug-24
269,Varanasi,Varanasi,Wheat,Dara,FAQ,2750,2835,2780,24-Feb-23
270,Varanasi,Varanasi,Wheat,Dara,FAQ,2400,2500,2435,17-Jul-24
271,Varanasi,Varanasi,Wheat,Dara,FAQ,2240,2350,2300,08-Sep-24
272,Varanasi,Varanasi,Wheat,Dara,FAQ,2600,2685,2635,08-Oct-24
273,Varanasi,Varanasi,Wheat,Dara,FAQ,2470,2565,2520,16-Jan-24
274,Varanasi,Varanasi,Wheat,Dara,FAQ,2275,2400,2340,28-May-24
275,Varanasi,Varanasi,Wheat,Dara,FAQ,2615,2700,2665,11-Oct-24
276,Varanasi,Varanasi,Wheat,Dara,FAQ,2450,2525,2470,01-Aug-24
